osmid,lat,lon
51489107,46.7360965,-117.1311398
51489109,46.7355641,-117.1317528
51489112,46.7347043,-117.1327449
51489114,46.7344051,-117.1328531
51489204,46.7358261,-117.1322210
51489208,46.7438385,-117.1501950
51489220,46.7432102,-117.1511317
51489223,46.7432023,-117.1522277
51489224,46.7432138,-117.1523390
51489226,46.7432255,-117.1524290
51489228,46.7432304,-117.1530557
51489230,46.7432260,-117.1531911
51489233,46.7431837,-117.1532732
51489235,46.7429136,-117.1536730
51489237,46.7428662,-117.1537624
51489239,46.7426028,-117.1540613
51489248,46.7424188,-117.1541756
51489388,46.7465092,-117.1516303
51489407,46.7229196,-117.1591622
51489413,46.7216772,-117.1573536
51489415,46.7230609,-117.1575391
51489418,46.7228729,-117.1575201
51489428,46.7443170,-117.1517024
51489626,46.7363324,-117.2256873
51489631,46.7367247,-117.2245682
51489645,46.7358355,-117.2253711
51489664,46.7337657,-117.1521160
51489668,46.7506082,-117.1738732
51489670,46.7508092,-117.1735305
51489671,46.7508748,-117.1734455
51489673,46.7509841,-117.1725945
51489676,46.7510216,-117.1721626
51489680,46.7514245,-117.1724358
51489681,46.7511519,-117.1725685
51489784,46.7504991,-117.1719220
51489797,46.7511425,-117.1716672
51489798,46.7513534,-117.1715531
51489800,46.7339732,-117.1495815
51489801,46.7336984,-117.1496099
51489803,46.7335899,-117.1496795
51489805,46.7335242,-117.1498019
51489807,46.7334875,-117.1499940
51489809,46.7509409,-117.1742745
51489815,46.7512767,-117.1741163
51489817,46.7513222,-117.1740443
51489899,46.7234535,-117.1590389
51489903,46.7253899,-117.1588459
51489905,46.7255376,-117.1588247
51489907,46.7259523,-117.1570920
51489908,46.7263338,-117.1579000
51489910,46.7264097,-117.1579068
51489911,46.7264043,-117.1600089
51489927,46.6974487,-117.2039604
51489928,46.6974123,-117.2005329
51489930,46.6973965,-117.2004374
51489932,46.6973539,-117.2003473
51489933,46.6971216,-117.2000257
51489934,46.6969639,-117.1998653
51489949,46.6973880,-117.1997060
51490005,46.7001833,-117.2039049
51490006,46.7001072,-117.2040930
51490008,46.7000265,-117.2041711
51490009,46.6995663,-117.2041857
51490012,46.6992607,-117.2044086
51490014,46.6989027,-117.2048557
51490017,46.7333394,-117.1630420
51490122,46.7423067,-117.1509014
51490252,46.7433463,-117.1493252
51490253,46.7432161,-117.1491709
51490255,46.7431574,-117.1491110
51490258,46.7428968,-117.1492098
51490261,46.7427705,-117.1492104
51490265,46.7427646,-117.1487026
51490271,46.7427629,-117.1481611
51490282,46.7431095,-117.1481560
51490289,46.7431073,-117.1483555
51490384,46.7612944,-117.1854434
51490386,46.7607077,-117.1863753
51490387,46.7604014,-117.1875101
51490388,46.7603914,-117.1883223
51490390,46.7599565,-117.1883295
51490391,46.7595169,-117.1871145
51490394,46.7593482,-117.1867982
51490396,46.7592930,-117.1866404
51490510,46.7237720,-117.2221195
51490511,46.7236384,-117.2224029
51490513,46.7231615,-117.2236237
51490528,46.7230515,-117.2237867
51490530,46.7229038,-117.2238843
51490532,46.7226499,-117.2239452
51490535,46.7810860,-117.1933750
51490541,46.7008368,-117.1591675
51490543,46.7006627,-117.1591291
51490544,46.7005728,-117.1588413
51490548,46.7003903,-117.1584434
51490552,46.7066144,-117.1621035
51490554,46.7063868,-117.1626766
51490556,46.7062190,-117.1629521
51490557,46.7061291,-117.1631063
51490559,46.7059728,-117.1632493
51490595,46.7118639,-117.1465699
51490597,46.7115783,-117.1467322
51490599,46.7115290,-117.1467986
51490602,46.7114999,-117.1469057
51490603,46.7114268,-117.1471121
51490607,46.7111690,-117.1474412
51490610,46.7111012,-117.1475123
51490612,46.7110110,-117.1475559
51490633,46.7104080,-117.1477567
51490752,46.7140630,-117.1569353
51490755,46.7137272,-117.1570971
51490764,46.7102688,-117.1400433
51490928,46.6973851,-117.0872443
51490938,46.6977164,-117.0873891
51490947,46.6988139,-117.0878287
51490948,46.6990242,-117.0878722
51490980,46.6991643,-117.0878607
51490982,46.6994292,-117.0877338
51491001,46.7054894,-117.0719640
51491011,46.7065989,-117.0734290
51491175,46.7504248,-117.1810859
51491246,46.7379456,-117.2267540
51491250,46.7395409,-117.2257224
51491252,46.7397257,-117.2254411
51491253,46.7398474,-117.2253992
51491255,46.7400362,-117.2257180
51491259,46.7401431,-117.2256554
51491261,46.7402496,-117.2254813
51491265,46.7404170,-117.2251278
51491382,46.7260900,-117.2141745
51491384,46.7267872,-117.2141189
51491388,46.7271372,-117.2142111
51491390,46.7273522,-117.2142167
51491391,46.7278321,-117.2140558
51491816,46.8135232,-117.3211494
51491825,46.7985878,-117.3150994
51491919,46.7082646,-117.2033152
51491921,46.7083159,-117.2030228
51491923,46.7083290,-117.2024798
51492064,46.7277334,-117.1095103
51492066,46.7280463,-117.1093893
51492908,46.7120954,-117.1964893
51493046,46.7124973,-117.1621288
51493048,46.7123834,-117.1620225
51493050,46.7123935,-117.1617719
51493052,46.7121780,-117.1615923
51493438,46.7083918,-117.0672759
51493449,46.7137736,-117.0621592
51493455,46.6821824,-117.0699299
51494949,46.7090451,-117.2026748
51495314,46.7264944,-117.1099245
51495317,46.7267823,-117.1107345
51495323,46.7270162,-117.1116084
51495329,46.7273836,-117.1135816
